,RMSE_rolling,MAE_rolling,pvalues_l1_rolling,status_l1_rolling,pvalues_l2_rolling,status_l2_rolling,RMSE_expanding,MAE_expanding,pvalues_l1_expanding,status_l1_expanding,pvalues_l2_expanding,status_l2_expanding
XGBM,0.0002457,0.0001066,0.0,excluded,0.0,excluded,0.0002317,9.79e-05,0.0,excluded,0.3194,included
STRX,0.0002307,7.63e-05,0.0,excluded,0.0,excluded,0.0002295,7.56e-05,0.0294,excluded,0.3194,included
RF,0.000234,8.92e-05,0.0,excluded,0.0,excluded,0.0002319,9.31e-05,0.0,excluded,0.3194,included
EWMA,0.0002551,9.38e-05,0.0,excluded,0.0,excluded,0.0002552,9.38e-05,0.0,excluded,0.003,excluded
STR,0.0002287,7.56e-05,0.0,excluded,0.0,excluded,0.000228,7.47e-05,1.0,included,1.0,included
HAR,0.0002279,8.4e-05,0.0,excluded,0.0,excluded,0.0002305,8.58e-05,0.0,excluded,0.3194,included
GP,0.0002316,7.9e-05,0.0,excluded,0.0,excluded,0.000229,7.72e-05,0.0004,excluded,0.4364,included
ARIMA,0.0002298,8.75e-05,0.0,excluded,0.0,excluded,0.0002442,9.59e-05,0.0,excluded,0.003,excluded
Naive,0.0002826,9.21e-05,0.0,excluded,0.0,excluded,0.0002827,9.21e-05,0.0,excluded,0.0002,excluded
HARX,0.0002296,8.1e-05,0.0,excluded,0.0,excluded,0.0002297,8.21e-05,0.0004,excluded,0.4364,included
ENET,0.0002307,8.66e-05,0.0,excluded,0.0,excluded,0.0002321,9.3e-05,0.0,excluded,0.003,excluded
Garch_normal,0.0002494,9.42e-05,0.0,excluded,0.0,excluded,0.0002375,8.02e-05,0.0004,excluded,0.003,excluded
ARIMAX,0.0002365,9.21e-05,0.0,excluded,0.0,excluded,0.0002404,9.3e-05,0.0,excluded,0.003,excluded
LSTMSoftplusPredictor,0.0002488,8.16e-05,0.0,excluded,0.0,excluded,0.0002487,8.22e-05,0.0004,excluded,0.0014,excluded
TransformerPredictor,0.0002488,8.14e-05,0.0,excluded,0.0,excluded,0.0002488,8.15e-05,0.0004,excluded,0.003,excluded
SigmaLSTMPredictor,0.0209891,0.0124276,0.0,excluded,0.0,excluded,0.0290519,0.0162812,0.0,excluded,0.0,excluded
ViEvalPredictor,0.0002466,8.05e-05,0.0,excluded,0.0,excluded,0.0002477,8.12e-05,0.0004,excluded,0.003,excluded
hinge_weibull,0.0002469,9.34e-05,0.04,excluded,0.0322,excluded,0.0002447,0.0001023,0.0,excluded,0.0014,excluded
normal,0.0002369,8.48e-05,1.0,included,0.8056,included,0.0002334,8.58e-05,0.0002,excluded,0.0504,included
lognormal,2519164725092213.5,56931184882533.35,0.04,excluded,0.0322,excluded,5805.1829937,131.275132,0.0,excluded,0.0,excluded
weibull,6.0948599,0.1378381,0.04,excluded,0.0322,excluded,0.000244,9.35e-05,0.0,excluded,0.003,excluded
inverse_gaussian,0.0002358,9.09e-05,0.0532,included,1.0,included,0.0002393,9.53e-05,0.0,excluded,0.003,excluded
hinge,0.0002439,9.08e-05,0.04,excluded,0.2434,included,0.0002323,8.59e-05,0.0002,excluded,0.1196,included
hinge_inverse_gaussian,0.0002459,9.68e-05,0.04,excluded,0.0322,excluded,0.0002457,0.000103,0.0,excluded,0.0002,excluded
