,RMSE,MAE,pvalues_l1,status_l1,pvalues_l2,status_l2
ENET,0.0002321,9.3e-05,0.0,excluded,0.003,excluded
ARIMAX,0.0002404,9.3e-05,0.0,excluded,0.003,excluded
STRX,0.0002295,7.56e-05,0.0294,excluded,0.3194,included
EWMA,0.0002552,9.38e-05,0.0,excluded,0.003,excluded
Garch_normal,0.0002375,8.02e-05,0.0004,excluded,0.003,excluded
HAR,0.0002305,8.58e-05,0.0,excluded,0.3194,included
Naive,0.0002827,9.21e-05,0.0,excluded,0.0002,excluded
GP,0.000229,7.72e-05,0.0004,excluded,0.4364,included
ARIMA,0.0002442,9.59e-05,0.0,excluded,0.003,excluded
HARX,0.0002297,8.21e-05,0.0004,excluded,0.4364,included
STR,0.000228,7.47e-05,1.0,included,1.0,included
XGBM,0.0002317,9.79e-05,0.0,excluded,0.3194,included
RF,0.0002319,9.31e-05,0.0,excluded,0.3194,included
LSTMSoftplusPredictor,0.0002487,8.22e-05,0.0004,excluded,0.0014,excluded
TransformerPredictor,0.0002488,8.15e-05,0.0004,excluded,0.003,excluded
SigmaLSTMPredictor,0.0290519,0.0162812,0.0,excluded,0.0,excluded
ViEvalPredictor,0.0002477,8.12e-05,0.0004,excluded,0.003,excluded
hinge_weibull,0.0002447,0.0001023,0.0,excluded,0.0014,excluded
lognormal,5805.1829937,131.275132,0.0,excluded,0.0,excluded
hinge,0.0002323,8.59e-05,0.0002,excluded,0.1196,included
normal,0.0002334,8.58e-05,0.0002,excluded,0.0504,included
inverse_gaussian,0.0002393,9.53e-05,0.0,excluded,0.003,excluded
weibull,0.000244,9.35e-05,0.0,excluded,0.003,excluded
hinge_inverse_gaussian,0.0002457,0.000103,0.0,excluded,0.0002,excluded
LSTMSoftplusPredictorUnctRefit,0.0002487,8.22e-05,0.0004,excluded,0.0014,excluded
