interval,value
original_residuals_step_0,3.882747e-05
original_residuals_step_0,-1.3148412e-05
original_residuals_step_0,8.557603e-06
original_residuals_step_0,-0.0001973127
original_residuals_step_0,0.00016237477
original_residuals_step_0,2.3788118e-05
original_residuals_step_0,5.648053e-05
original_residuals_step_0,9.362375e-06
original_residuals_step_0,-3.464381e-05
original_residuals_step_0,-2.4544483e-05
original_residuals_step_0,3.630796e-05
original_residuals_step_0,7.000873e-05
original_residuals_step_0,-1.7966944e-05
original_residuals_step_0,3.0866722e-06
original_residuals_step_0,1.0428848e-05
original_residuals_step_0,-2.8665338e-05
original_residuals_step_0,3.8732833e-05
original_residuals_step_0,6.6614935e-05
original_residuals_step_0,-4.849295e-06
original_residuals_step_0,2.1344655e-05
original_residuals_step_0,-2.5659407e-05
original_residuals_step_0,-4.460526e-06
original_residuals_step_0,3.5036806e-05
original_residuals_step_0,-2.5150795e-05
original_residuals_step_0,4.7174457e-05
original_residuals_step_0,8.10579e-05
original_residuals_step_0,3.1820186e-05
original_residuals_step_0,2.9999712e-05
original_residuals_step_0,-4.041486e-05
original_residuals_step_0,7.534595e-05
original_residuals_step_0,4.501219e-05
original_residuals_step_0,-6.519629e-06
original_residuals_step_0,-0.00030125247
original_residuals_step_0,-0.00010575862
original_residuals_step_0,-0.00031177362
original_residuals_step_0,0.00022071386
original_residuals_step_0,0.00011710851
original_residuals_step_0,3.3011805e-05
original_residuals_step_0,3.7530903e-05
original_residuals_step_0,7.759163e-05
original_residuals_step_0,3.0881914e-05
original_residuals_step_0,3.356331e-05
original_residuals_step_0,4.8712755e-06
original_residuals_step_0,4.7618967e-05
original_residuals_step_0,4.147338e-05
original_residuals_step_0,2.3002274e-05
original_residuals_step_0,4.1698204e-05
original_residuals_step_0,1.0582764e-05
original_residuals_step_0,-2.8598064e-05
original_residuals_step_0,-0.0003038275
original_residuals_step_0,-4.915893e-05
original_residuals_step_0,0.00019607476
original_residuals_step_0,4.2330706e-05
original_residuals_step_0,9.574142e-06
original_residuals_step_0,2.7389055e-05
original_residuals_step_0,6.932474e-05
original_residuals_step_0,3.819191e-05
original_residuals_step_0,4.9876944e-05
original_residuals_step_0,-4.2826607e-05
original_residuals_step_0,2.8175291e-05
original_residuals_step_0,3.818732e-05
original_residuals_step_0,1.9190786e-05
original_residuals_step_0,-4.961199e-05
