interval,value
original_residuals_step_0,5.0522365e-05
original_residuals_step_0,9.351643e-06
original_residuals_step_0,9.995754e-06
original_residuals_step_0,-0.00016701702
original_residuals_step_0,0.00015530067
original_residuals_step_0,-1.1332813e-06
original_residuals_step_0,8.637885e-05
original_residuals_step_0,4.0650775e-06
original_residuals_step_0,-1.19384495e-05
original_residuals_step_0,-4.6086934e-06
original_residuals_step_0,-6.7999717e-06
original_residuals_step_0,2.1883876e-05
original_residuals_step_0,-2.9119808e-05
original_residuals_step_0,1.4695877e-05
original_residuals_step_0,3.0287018e-05
original_residuals_step_0,1.5258185e-05
original_residuals_step_0,5.1470408e-05
original_residuals_step_0,6.597943e-05
original_residuals_step_0,2.6390095e-05
original_residuals_step_0,1.9545128e-05
original_residuals_step_0,1.8861494e-05
original_residuals_step_0,-1.2690747e-05
original_residuals_step_0,2.937881e-05
original_residuals_step_0,-1.19676915e-05
original_residuals_step_0,-9.31001e-06
original_residuals_step_0,8.845269e-05
original_residuals_step_0,4.3192937e-05
original_residuals_step_0,3.1784642e-05
original_residuals_step_0,-1.7888124e-05
original_residuals_step_0,9.738985e-05
original_residuals_step_0,8.872057e-05
original_residuals_step_0,3.948625e-05
original_residuals_step_0,-0.00025266124
original_residuals_step_0,-0.00010151122
original_residuals_step_0,-0.00035311579
original_residuals_step_0,0.00020238892
original_residuals_step_0,0.00013226504
original_residuals_step_0,5.363277e-05
original_residuals_step_0,7.437291e-05
original_residuals_step_0,0.00011285722
original_residuals_step_0,6.432794e-05
original_residuals_step_0,2.478766e-05
original_residuals_step_0,3.0339063e-05
original_residuals_step_0,4.6236128e-05
original_residuals_step_0,8.1934326e-05
original_residuals_step_0,6.5399465e-05
original_residuals_step_0,7.395609e-05
original_residuals_step_0,1.891626e-05
original_residuals_step_0,-2.645627e-05
original_residuals_step_0,-0.00028143893
original_residuals_step_0,-7.591136e-05
original_residuals_step_0,0.00020399368
original_residuals_step_0,2.5054193e-05
original_residuals_step_0,5.0359595e-06
original_residuals_step_0,5.154615e-05
original_residuals_step_0,3.419866e-05
original_residuals_step_0,4.521253e-05
original_residuals_step_0,5.3107797e-05
original_residuals_step_0,-5.637594e-06
original_residuals_step_0,5.2574655e-05
original_residuals_step_0,8.728991e-05
original_residuals_step_0,6.767227e-05
original_residuals_step_0,-2.6486283e-05
original_residuals_step_0,1.4693047e-05
original_residuals_step_0,6.3998676e-05
original_residuals_step_0,4.5447996e-05
original_residuals_step_0,6.74334e-05
original_residuals_step_0,6.306142e-05
original_residuals_step_0,-9.1486916e-05
original_residuals_step_0,-0.0001795069
original_residuals_step_0,-0.00018934363
original_residuals_step_0,-0.0001043585
original_residuals_step_0,7.459099e-05
original_residuals_step_0,4.9876282e-05
original_residuals_step_0,-2.0205247e-05
original_residuals_step_0,4.370125e-05
original_residuals_step_0,7.819488e-05
original_residuals_step_0,3.6802863e-05
original_residuals_step_0,6.633428e-05
original_residuals_step_0,7.554102e-05
original_residuals_step_0,0.00011942346
original_residuals_step_0,0.00011490913
original_residuals_step_0,0.00012897595
original_residuals_step_0,3.1237854e-05
original_residuals_step_0,9.884265e-06
original_residuals_step_0,6.1933264e-05
original_residuals_step_0,4.923332e-05
original_residuals_step_0,7.569628e-05
original_residuals_step_0,7.08188e-05
original_residuals_step_0,6.831922e-05
original_residuals_step_0,4.572778e-05
original_residuals_step_0,8.391545e-05
original_residuals_step_0,5.0267525e-05
original_residuals_step_0,3.709906e-05
original_residuals_step_0,2.9621799e-05
