interval,value
original_residuals_step_0,1.4775273e-05
original_residuals_step_0,1.5976912e-05
original_residuals_step_0,-2.1485044e-05
original_residuals_step_0,-0.00023343001
original_residuals_step_0,-8.342809e-06
original_residuals_step_0,-5.464826e-07
original_residuals_step_0,-3.403783e-05
original_residuals_step_0,-5.400954e-05
original_residuals_step_0,-7.165288e-05
original_residuals_step_0,-7.7350145e-05
original_residuals_step_0,1.2413089e-05
original_residuals_step_0,3.4037665e-05
original_residuals_step_0,5.0778544e-05
original_residuals_step_0,1.2782635e-05
original_residuals_step_0,3.9911538e-05
original_residuals_step_0,-2.944321e-05
original_residuals_step_0,4.1716725e-05
original_residuals_step_0,0.00010225352
original_residuals_step_0,1.8460778e-05
original_residuals_step_0,3.4723125e-06
original_residuals_step_0,-9.714975e-06
original_residuals_step_0,-5.65753e-05
original_residuals_step_0,6.8012596e-06
original_residuals_step_0,-5.0527706e-05
original_residuals_step_0,-3.4398967e-05
original_residuals_step_0,7.444912e-05
original_residuals_step_0,2.1548134e-05
original_residuals_step_0,8.108902e-05
original_residuals_step_0,-1.2186218e-05
original_residuals_step_0,6.177674e-05
original_residuals_step_0,9.2024755e-05
original_residuals_step_0,4.0657185e-05
original_residuals_step_0,-0.00027812424
original_residuals_step_0,-0.00027148158
original_residuals_step_0,-0.00043411696
original_residuals_step_0,3.0356678e-05
original_residuals_step_0,6.785256e-05
original_residuals_step_0,-5.1282084e-05
original_residuals_step_0,9.981886e-07
original_residuals_step_0,7.545002e-05
original_residuals_step_0,0.00010792968
original_residuals_step_0,-6.3800326e-06
original_residuals_step_0,5.239602e-05
original_residuals_step_0,-1.6040227e-05
original_residuals_step_0,4.5115376e-05
original_residuals_step_0,0.00012653052
original_residuals_step_0,0.00013333977
original_residuals_step_0,-1.8268911e-06
original_residuals_step_0,-9.056873e-05
original_residuals_step_0,-0.00028976644
original_residuals_step_0,-0.00017079213
original_residuals_step_0,1.3432473e-06
original_residuals_step_0,-1.3030534e-05
original_residuals_step_0,4.11027e-05
original_residuals_step_0,-8.836869e-06
original_residuals_step_0,4.224245e-05
original_residuals_step_0,7.0951006e-05
original_residuals_step_0,-4.7414433e-06
original_residuals_step_0,1.20760815e-05
original_residuals_step_0,1.9524825e-05
original_residuals_step_0,1.6359656e-05
original_residuals_step_0,8.334081e-05
original_residuals_step_0,3.333982e-05
original_residuals_step_0,1.6867394e-05
original_residuals_step_0,-4.8440503e-05
original_residuals_step_0,-3.537909e-05
original_residuals_step_0,1.9424893e-05
original_residuals_step_0,-1.0234013e-05
original_residuals_step_0,-0.00011873981
original_residuals_step_0,-0.00018005595
original_residuals_step_0,-0.000106413456
original_residuals_step_0,-9.9833764e-05
original_residuals_step_0,0.0001627976
original_residuals_step_0,-2.3485445e-05
original_residuals_step_0,-6.7959336e-06
original_residuals_step_0,2.4360677e-05
original_residuals_step_0,0.00016019633
original_residuals_step_0,2.3292487e-05
original_residuals_step_0,8.3726816e-05
original_residuals_step_0,4.6962763e-05
original_residuals_step_0,7.1621595e-05
original_residuals_step_0,4.0192317e-05
original_residuals_step_0,0.00011218055
original_residuals_step_0,-2.703803e-05
original_residuals_step_0,-2.0522391e-05
original_residuals_step_0,7.332201e-07
original_residuals_step_0,8.15156e-05
original_residuals_step_0,0.00021314796
original_residuals_step_0,2.3786572e-05
original_residuals_step_0,2.134272e-05
original_residuals_step_0,2.43842e-05
original_residuals_step_0,0.00018142785
original_residuals_step_0,0.00021809088
original_residuals_step_0,7.0188806e-05
original_residuals_step_0,-1.5877798e-05
original_residuals_step_0,-1.6012513e-05
original_residuals_step_0,0.00018496852
original_residuals_step_0,0.00016082781
original_residuals_step_0,0.0001221601
original_residuals_step_0,2.314018e-05
original_residuals_step_0,0.00010862541
original_residuals_step_0,0.0001297289
original_residuals_step_0,0.00018689793
original_residuals_step_0,0.00018811482
original_residuals_step_1,-4.360576e-06
original_residuals_step_1,7.725389e-05
original_residuals_step_1,-0.000121318386
original_residuals_step_1,-0.00016796426
original_residuals_step_1,0.00014164735
original_residuals_step_1,-0.00043546787
original_residuals_step_1,-5.9217506e-05
original_residuals_step_1,-0.00026106136
original_residuals_step_1,0.00011290863
original_residuals_step_1,0.00014901684
original_residuals_step_1,-4.9707945e-05
original_residuals_step_1,9.113359e-05
original_residuals_step_1,0.0001408611
original_residuals_step_1,3.1412892e-05
original_residuals_step_1,0.000100924444
original_residuals_step_1,0.00025330775
original_residuals_step_1,-9.020904e-05
original_residuals_step_1,0.00013410242
original_residuals_step_1,-0.00012380972
original_residuals_step_1,0.0006816597
original_residuals_step_1,-5.2845222e-05
original_residuals_step_1,1.39091135e-05
original_residuals_step_1,-0.00012222142
original_residuals_step_1,3.7158316e-05
original_residuals_step_1,0.00024042159
original_residuals_step_1,0.00013028411
original_residuals_step_1,8.6988e-06
original_residuals_step_1,1.2298486e-05
original_residuals_step_1,2.946426e-05
original_residuals_step_1,-0.00012357032
original_residuals_step_1,-5.1182433e-05
original_residuals_step_1,-1.0858086e-05
original_residuals_step_1,-2.186119e-05
original_residuals_step_1,-5.257356e-05
original_residuals_step_1,0.00024140728
original_residuals_step_1,0.00038166682
original_residuals_step_1,0.00036923873
original_residuals_step_1,0.00046731133
original_residuals_step_1,0.00020601836
original_residuals_step_1,0.000115326955
original_residuals_step_1,3.579991e-05
original_residuals_step_1,2.1969034e-05
original_residuals_step_1,0.00012553856
original_residuals_step_1,3.682135e-05
original_residuals_step_1,2.576771e-05
original_residuals_step_1,5.7470883e-05
original_residuals_step_1,3.7407983e-05
original_residuals_step_1,2.4867193e-05
original_residuals_step_1,-0.0007889294
original_residuals_step_1,-0.00030965824
original_residuals_step_1,1.0393967e-05
original_residuals_step_1,5.730288e-05
original_residuals_step_1,3.1963187e-05
original_residuals_step_1,0.00030850247
original_residuals_step_1,-0.00012417123
original_residuals_step_1,6.509383e-05
original_residuals_step_1,-0.0001681635
original_residuals_step_1,8.368614e-05
original_residuals_step_1,0.00025922759
original_residuals_step_1,5.7852194e-05
original_residuals_step_1,4.654767e-05
original_residuals_step_1,1.7841201e-05
original_residuals_step_1,0.0001666885
original_residuals_step_1,-1.0794094e-05
original_residuals_step_1,0.00011192315
original_residuals_step_1,5.5213386e-05
original_residuals_step_1,-2.0477542e-05
original_residuals_step_1,7.1589115e-05
original_residuals_step_1,0.00017087677
original_residuals_step_1,4.505789e-05
original_residuals_step_1,5.5127537e-05
original_residuals_step_1,4.6054454e-05
original_residuals_step_1,0.00014681238
original_residuals_step_1,6.360238e-05
original_residuals_step_1,3.635688e-05
original_residuals_step_1,9.2065886e-05
original_residuals_step_1,0.000118772645
original_residuals_step_1,5.281246e-05
original_residuals_step_1,0.00018590059
original_residuals_step_1,0.00013717228
original_residuals_step_1,0.00014583416
original_residuals_step_1,7.171e-05
original_residuals_step_1,3.0962197e-05
original_residuals_step_1,0.00013096377
original_residuals_step_1,3.290116e-05
original_residuals_step_1,3.7751233e-05
original_residuals_step_1,6.7723944e-05
original_residuals_step_1,4.0685445e-05
original_residuals_step_1,0.00012288972
original_residuals_step_1,7.357575e-05
original_residuals_step_1,-2.9784504e-05
original_residuals_step_1,-1.1100354e-05
original_residuals_step_1,0.00013134841
original_residuals_step_1,0.00011812116
original_residuals_step_1,5.3667754e-05
original_residuals_step_1,-4.8701797e-05
original_residuals_step_1,6.6868e-05
original_residuals_step_1,2.3828368e-05
original_residuals_step_1,7.867054e-05
original_residuals_step_1,0.00010560311
original_residuals_step_1,3.85486e-05
original_residuals_step_1,-0.000629189
original_residuals_step_1,-9.638133e-05
original_residuals_step_1,0.00012102851
original_residuals_step_2,4.914379e-05
original_residuals_step_2,6.2955296e-05
original_residuals_step_2,4.6973022e-05
original_residuals_step_2,5.9994476e-05
original_residuals_step_2,-6.9489324e-06
original_residuals_step_2,-6.6525594e-05
original_residuals_step_2,-0.00010837191
original_residuals_step_2,9.628771e-05
original_residuals_step_2,6.583144e-05
original_residuals_step_2,0.00010161354
original_residuals_step_2,3.507407e-05
original_residuals_step_2,8.337725e-05
original_residuals_step_2,0.000100747086
original_residuals_step_2,4.3002627e-05
original_residuals_step_2,4.949094e-05
original_residuals_step_2,-7.226213e-05
original_residuals_step_2,0.000115818795
original_residuals_step_2,-1.1782893e-05
original_residuals_step_2,4.5995974e-05
original_residuals_step_2,-2.0801082e-05
original_residuals_step_2,2.8315553e-06
original_residuals_step_2,6.434058e-05
original_residuals_step_2,4.0624283e-05
original_residuals_step_2,6.188458e-05
original_residuals_step_2,5.9194914e-05
original_residuals_step_2,9.420725e-05
original_residuals_step_2,7.886777e-05
original_residuals_step_2,-0.00025481358
original_residuals_step_2,-0.00084123854
original_residuals_step_2,-9.568391e-05
original_residuals_step_2,-4.4884437e-05
original_residuals_step_2,0.00026163762
original_residuals_step_2,-3.7471018e-05
original_residuals_step_2,0.00013049702
original_residuals_step_2,2.955734e-05
original_residuals_step_2,0.00011385532
original_residuals_step_2,5.962171e-05
original_residuals_step_2,3.3752356e-05
original_residuals_step_2,0.00015598556
original_residuals_step_2,2.8323931e-05
original_residuals_step_2,0.00015343176
original_residuals_step_2,6.1941435e-05
original_residuals_step_2,7.1181545e-05
original_residuals_step_2,-4.466353e-05
original_residuals_step_2,3.1899e-05
original_residuals_step_2,7.264943e-05
original_residuals_step_2,-0.00031376941
original_residuals_step_2,2.920795e-05
original_residuals_step_2,8.031458e-05
original_residuals_step_2,-4.6753266e-06
original_residuals_step_2,0.00010618775
original_residuals_step_2,5.520074e-05
original_residuals_step_2,0.00013152428
original_residuals_step_2,0.00013100648
original_residuals_step_2,5.74391e-05
original_residuals_step_2,-1.3194236e-05
original_residuals_step_2,0.00013280644
original_residuals_step_2,4.259463e-05
original_residuals_step_2,0.00016510773
original_residuals_step_2,2.5692705e-05
original_residuals_step_2,0.0002320504
original_residuals_step_2,0.00012657876
original_residuals_step_2,7.1041984e-05
