datetime,true_vols,model_preds
2018-06-30,"[1.37015181e-03 4.11563810e-04 4.32223321e-04 2.14970248e-04
 2.08922338e-04 2.12872495e-04 3.15943398e-04 2.47166728e-04
 2.75272989e-04 2.93960425e-04 3.52398381e-04 3.62385096e-04
 2.75800360e-04 3.83237256e-04 2.54896865e-04 2.02139280e-04
 1.53564256e-04 8.93008173e-05 2.01591491e-04 1.25653344e-04
 1.43782096e-04]","[-0.00156242 -0.00326928 -0.00497632 -0.00668318 -0.00839051 -0.01009802
 -0.01180614 -0.01351526 -0.01522513 -0.01693554 -0.01864749 -0.0203599
 -0.02207447 -0.02378961 -0.02550603 -0.02722276 -0.02894044 -0.03066019
 -0.0323805  -0.03410233 -0.0358263 ]"
2018-07-03,[0.00028534 0.00024051],[ 8.01505521e-05 -8.03647563e-05]
2018-07-04,"[2.39824286e-04 1.72505392e-04 1.76909462e-04 1.81715745e-04
 1.29295567e-04 1.26494369e-04 1.26305472e-04 2.22430084e-04
 1.56841530e-04 2.80113787e-04 1.92151793e-04 2.36698565e-04
 6.89701942e-04 2.96795794e-04 1.42718031e-04 1.41664821e-04
 1.28523883e-04 1.76251697e-04 1.49281026e-04 8.01847290e-05
 1.78766470e-04 3.10500000e-04 2.50078400e-04 3.39906676e-04]","[-0.00032205 -0.00098264 -0.00164279 -0.00230315 -0.00296333 -0.00362306
 -0.00428365 -0.00494224 -0.00559988 -0.0062576  -0.00691486 -0.00757305
 -0.00822991 -0.00888478 -0.00953933 -0.01019473 -0.01084956 -0.01150373
 -0.01215779 -0.01281096 -0.01346404 -0.0141157  -0.0147645  -0.01541209]"
2018-07-05,"[3.32270234e-04 2.11211674e-04 1.59501897e-04 1.69218550e-04
 1.53374312e-04 1.88195474e-04 1.08019502e-04 2.56645056e-04
 1.77442118e-04 1.82255187e-04 2.01039139e-04 2.26625478e-04
 2.38621815e-04 1.86370420e-04 9.32260820e-05 1.25770318e-04
 2.78796984e-04 1.40236904e-04 1.33994213e-04 1.90902867e-04
 1.55915702e-04 1.17100749e-04 1.08221850e-04]","[-0.00361961 -0.00735158 -0.01108509 -0.01482141 -0.01856241 -0.02230888
 -0.02606411 -0.02982303 -0.03358607 -0.03735349 -0.04112545 -0.04489923
 -0.04867579 -0.05245636 -0.05623652 -0.06001415 -0.06379089 -0.06756726
 -0.07134163 -0.07511383 -0.07888124 -0.08264452 -0.08640491]"
2018-07-06,"[6.55891404e-05 7.63655603e-05 6.37377252e-05 1.79799215e-04
 8.18243542e-05 2.01479996e-04 2.79344772e-04 1.91314356e-04
 1.07187959e-04 1.19782756e-04 1.87548510e-04 3.90815420e-04
 2.11187327e-04 1.05903874e-04 9.68755100e-05 7.36878915e-05
 2.18724695e-04 2.03684160e-04 4.29851828e-05 1.51278203e-04
 1.41853064e-04 1.76645071e-04 1.09508934e-04 7.91365805e-05]","[-0.00087195 -0.00182398 -0.00277378 -0.00372455 -0.00467471 -0.00562396
 -0.00657234 -0.00752163 -0.0084711  -0.00942138 -0.01037159 -0.01132173
 -0.01227074 -0.01322247 -0.01417455 -0.01512686 -0.01608015 -0.01703443
 -0.01798926 -0.018944   -0.0199014  -0.02085901 -0.0218163  -0.02277565]"
2018-07-07,"[7.68359170e-05 9.51637117e-05 6.19905113e-05 6.50534992e-05
 4.38924874e-05 2.79996287e-05 5.06646659e-05 4.89592287e-05
 4.28443489e-05 6.44976497e-05 4.66942983e-05 1.59798481e-04
 2.05557768e-04 1.16155316e-04 8.66790216e-05 4.91944656e-05
 7.55345695e-05 5.28171064e-05 7.05823909e-05 8.80400832e-05
 5.70557624e-05 1.58872287e-04 8.24141835e-04 3.91408257e-04]","[-0.00542581 -0.01124235 -0.01706004 -0.02287742 -0.0286943  -0.03450959
 -0.04032423 -0.04613724 -0.05194968 -0.05776018 -0.06356899 -0.06937662
 -0.07518191 -0.08098371 -0.08678153 -0.09257732 -0.09836991 -0.10416162
 -0.10995471 -0.11574963 -0.12154919 -0.12735312 -0.13315931 -0.13896944]"
2018-07-08,"[2.01714437e-04 2.01688131e-04 1.18766096e-04 4.77736136e-05
 1.06327244e-04 9.52912351e-05 7.58047711e-05 9.49707030e-05
 1.13417896e-04 1.13774310e-04 3.95929126e-05 1.17470363e-04
 1.20834559e-04 2.71444705e-04 8.55295884e-05 6.00096759e-05
 1.71358013e-05 2.46481496e-05 2.60072250e-05 2.57955719e-05
 2.23907646e-05 4.53635277e-05 1.84038275e-04 9.87626988e-05]","[0.00096674 0.0018351  0.0027034  0.00357124 0.00443955 0.00530795
 0.00617637 0.00704484 0.00791339 0.00878208 0.00965063 0.0105191
 0.01138761 0.01225632 0.01312502 0.01399368 0.01486226 0.0157306
 0.01659908 0.01746744 0.01833577 0.01920417 0.02007231 0.02094043]"
2018-07-09,"[8.38862509e-05 4.95608840e-05 3.97858238e-05 1.25410062e-04
 1.86654847e-05 1.05612863e-04 8.63152891e-05 9.38044532e-05
 1.19457673e-04 3.72229718e-05 9.90851489e-05 1.11743655e-04
 8.31599185e-05 6.50200839e-05 2.03735279e-04 1.54473107e-04
 6.39499383e-05 4.43536662e-05 6.08969447e-05 5.98036286e-05
 2.85965437e-04 4.29580391e-04 1.56146761e-04]","[ 1.21538760e-04  8.62937886e-05  4.97980509e-05  1.42559875e-05
 -2.22518574e-05 -5.74586447e-05 -9.27613582e-05 -1.28297834e-04
 -1.63019402e-04 -1.98447844e-04 -2.34132400e-04 -2.70331046e-04
 -3.06914328e-04 -3.41881765e-04 -3.77602642e-04 -4.12914669e-04
 -4.49191546e-04 -4.84180404e-04 -5.19464491e-04 -5.54845436e-04
 -5.89948846e-04 -6.25121174e-04 -6.59410609e-04]"
2018-07-10,"[9.39978654e-05 1.60445316e-04 1.25313314e-04 8.64875166e-05
 7.60666378e-05 4.37892209e-04 1.28237545e-04 1.96535034e-04
 4.88852808e-04 2.55064454e-04 4.62150353e-04 2.59624640e-04
 1.61278914e-04 1.05758001e-04 4.66428806e-05 1.18456119e-04
 9.56763833e-05 3.83780385e-05 3.56421169e-05 6.27849572e-05
 1.31526902e-04 1.55914844e-04 3.42978774e-04]","[-0.00247456 -0.00529244 -0.00811019 -0.01092852 -0.01374808 -0.01656759
 -0.01938751 -0.022209   -0.02503112 -0.02785382 -0.0306791  -0.03350624
 -0.03633527 -0.03916543 -0.04199763 -0.04483156 -0.04766752 -0.05050547
 -0.05334476 -0.05618633 -0.05903029 -0.06187747 -0.06472728]"
2018-07-11,"[9.12037118e-05 1.19823936e-04 7.69008301e-05 1.09470123e-04
 1.32697476e-04 1.60139346e-04 1.20088669e-04 9.34623732e-05
 1.46540122e-04 9.95995152e-05 1.18854806e-04 1.08079267e-04
 8.20812945e-05 4.65039140e-05 9.56193838e-05 9.39479951e-05
 9.47348876e-05 1.26670691e-04 8.53402594e-05 1.30410269e-04
 1.32273712e-04 6.51658947e-05 7.78873079e-05]","[-0.0023668  -0.00481263 -0.00725933 -0.00970601 -0.01215308 -0.01460065
 -0.01705027 -0.0195011  -0.02195435 -0.02440968 -0.02686717 -0.02932566
 -0.03178518 -0.03424598 -0.03670793 -0.03917187 -0.04163641 -0.04410264
 -0.04656926 -0.04903778 -0.05150716 -0.05397696 -0.05644774]"
2018-07-12,"[8.27141319e-05 1.30295512e-04 4.28974837e-05 2.77082853e-05
 7.27463407e-05 3.70724714e-04 3.23475817e-04 5.68602686e-04
 1.49805843e-04 9.70036978e-05 1.29533157e-04 8.06726539e-05
 4.15514649e-05 5.45919317e-05 8.85331290e-05 8.25011376e-05
 6.68023971e-05 3.04286012e-05 5.75487925e-05 5.94558882e-05
 1.03233807e-04 1.71674566e-04 4.48592569e-04 2.88075754e-04]","[0.00116503 0.00204222 0.00291729 0.00379195 0.0046647  0.00553746
 0.00641105 0.0072823  0.00815263 0.00902296 0.00989275 0.01076117
 0.01163039 0.01249849 0.01336531 0.01422981 0.01509293 0.0159558
 0.01681855 0.01767822 0.01853827 0.01939565 0.02025251 0.02110948]"
2018-07-13,"[4.89861310e-05 1.06907869e-04 1.12327967e-04 1.06923960e-04
 8.02445887e-05 6.95694322e-05 6.96474190e-05 1.22980911e-04
 6.08804229e-05 4.17070955e-05 4.56128960e-05 1.43138245e-04
 1.03261450e-04 8.97694931e-05 6.99807864e-05 4.86517085e-05
 4.94764212e-05 2.03715053e-04 2.95374007e-04 3.18560077e-04
 2.23390373e-04 9.07406549e-05 1.03729867e-04 1.56709441e-04]","[-0.00356686 -0.00729094 -0.01101461 -0.01473989 -0.01846623 -0.02219433
 -0.02592456 -0.02965788 -0.0333936  -0.03713119 -0.04086964 -0.04460899
 -0.0483474  -0.05208613 -0.05582358 -0.05956086 -0.06329669 -0.06703193
 -0.07076449 -0.07449484 -0.07822129 -0.08194569 -0.08566761 -0.08938625]"
2018-07-14,"[1.07326732e-04 4.76061448e-05 8.06063070e-05 5.40736981e-05
 6.49602961e-05 5.82246808e-05 4.03074006e-05 2.08030608e-05
 8.11396413e-05 1.03081199e-04 7.14797602e-05 6.33376898e-05
 3.65224284e-05 4.19712934e-05 4.47131752e-05 6.66968056e-05
 3.20045829e-05 6.37386259e-05 7.74373391e-05 1.11679451e-04
 1.28629952e-04 6.26099873e-05 4.11763376e-05 6.26773701e-05]","[-0.00156707 -0.0031977  -0.00482932 -0.00645847 -0.00808692 -0.00971496
 -0.01134261 -0.01297079 -0.01459946 -0.0162283  -0.0178589  -0.01949181
 -0.02112445 -0.02275903 -0.02439518 -0.0260321  -0.02766929 -0.02930924
 -0.03095066 -0.0325948  -0.03424042 -0.03588709 -0.0375348  -0.03918253]"
2018-07-15,"[7.06068481e-05 6.13890486e-05 4.48029234e-05 8.23824759e-05
 5.15815610e-05 9.22014506e-05 5.57797415e-05 2.98602414e-04
 9.12952011e-05 1.71006521e-04 9.17639535e-05 7.36042137e-05
 5.92579624e-05 5.19117911e-05 5.82882535e-05]","[-0.00216674 -0.00439153 -0.00661703 -0.00884318 -0.01106872 -0.01329333
 -0.01551639 -0.01773755 -0.01995811 -0.02217768 -0.02439734 -0.02661541
 -0.02883222 -0.03104865 -0.03326325]"
