datetime,true_vols,model_preds
2018-06-30,"[1.37015181e-03 4.11563810e-04 4.32223321e-04 2.14970248e-04
 2.08922338e-04 2.12872495e-04 3.15943398e-04 2.47166728e-04
 2.75272989e-04 2.93960425e-04 3.52398381e-04 3.62385096e-04
 2.75800360e-04 3.83237256e-04 2.54896865e-04 2.02139280e-04
 1.53564256e-04 8.93008173e-05 2.01591491e-04 1.25653344e-04
 1.43782096e-04]","[-0.00635768 -0.01306915 -0.01978078 -0.02649003 -0.03319728 -0.03989985
 -0.04660263 -0.05330671 -0.06001359 -0.06672463 -0.07344221 -0.08016654
 -0.08689587 -0.09362576 -0.1003577  -0.10708763 -0.11381613 -0.12054223
 -0.12726651 -0.13398951 -0.14070942]"
2018-07-03,[0.00028534 0.00024051],[0.00253635 0.00492746]
2018-07-04,"[2.39824286e-04 1.72505392e-04 1.76909462e-04 1.81715745e-04
 1.29295567e-04 1.26494369e-04 1.26305472e-04 2.22430084e-04
 1.56841530e-04 2.80113787e-04 1.92151793e-04 2.36698565e-04
 6.89701942e-04 2.96795794e-04 1.42718031e-04 1.41664821e-04
 1.28523883e-04 1.76251697e-04 1.49281026e-04 8.01847290e-05
 1.78766470e-04 3.10500000e-04 2.50078400e-04 3.39906676e-04]","[0.00183454 0.00342738 0.0050201  0.00661338 0.00820854 0.00980079
 0.01139208 0.01298038 0.014569   0.01615569 0.01774241 0.01932847
 0.02091686 0.02250513 0.02409203 0.02567797 0.02726092 0.02884485
 0.03042805 0.03200943 0.03359228 0.03517476 0.03675402 0.03833495]"
2018-07-05,"[3.32270234e-04 2.11211674e-04 1.59501897e-04 1.69218550e-04
 1.53374312e-04 1.88195474e-04 1.08019502e-04 2.56645056e-04
 1.77442118e-04 1.82255187e-04 2.01039139e-04 2.26625478e-04
 2.38621815e-04 1.86370420e-04 9.32260820e-05 1.25770318e-04
 2.78796984e-04 1.40236904e-04 1.33994213e-04 1.90902867e-04
 1.55915702e-04 1.17100749e-04 1.08221850e-04]","[-0.00123863 -0.0028174  -0.0043962  -0.00597448 -0.00755301 -0.00913297
 -0.01071192 -0.01229161 -0.0138734  -0.01545501 -0.01703752 -0.01862057
 -0.02020536 -0.02178979 -0.02337398 -0.0249591  -0.02654508 -0.02813057
 -0.02971761 -0.0313057  -0.03289321 -0.03448133 -0.03606961]"
2018-07-06,"[6.55891404e-05 7.63655603e-05 6.37377252e-05 1.79799215e-04
 8.18243542e-05 2.01479996e-04 2.79344772e-04 1.91314356e-04
 1.07187959e-04 1.19782756e-04 1.87548510e-04 3.90815420e-04
 2.11187327e-04 1.05903874e-04 9.68755100e-05 7.36878915e-05
 2.18724695e-04 2.03684160e-04 4.29851828e-05 1.51278203e-04
 1.41853064e-04 1.76645071e-04 1.09508934e-04 7.91365805e-05]","[-0.00639931 -0.01290717 -0.01941726 -0.02593101 -0.03244837 -0.03896944
 -0.04549506 -0.05202186 -0.05855126 -0.06507983 -0.07160757 -0.07813358
 -0.08465549 -0.09117638 -0.09769989 -0.10422339 -0.11074284 -0.117262
 -0.12378013 -0.13029817 -0.13681771 -0.14334063 -0.14986496 -0.15638939]"
2018-07-07,"[7.68359170e-05 9.51637117e-05 6.19905113e-05 6.50534992e-05
 4.38924874e-05 2.79996287e-05 5.06646659e-05 4.89592287e-05
 4.28443489e-05 6.44976497e-05 4.66942983e-05 1.59798481e-04
 2.05557768e-04 1.16155316e-04 8.66790216e-05 4.91944656e-05
 7.55345695e-05 5.28171064e-05 7.05823909e-05 8.80400832e-05
 5.70557624e-05 1.58872287e-04 8.24141835e-04 3.91408257e-04]","[-0.00071295 -0.0015072  -0.00230118 -0.00309588 -0.00389043 -0.00468551
 -0.00548106 -0.00627651 -0.00707252 -0.00786977 -0.00866814 -0.00946478
 -0.01026243 -0.01106213 -0.01186182 -0.01266234 -0.01346451 -0.01426682
 -0.0150702  -0.01587335 -0.01667728 -0.0174821  -0.018287   -0.01909355]"
2018-07-08,"[2.01714437e-04 2.01688131e-04 1.18766096e-04 4.77736136e-05
 1.06327244e-04 9.52912351e-05 7.58047711e-05 9.49707030e-05
 1.13417896e-04 1.13774310e-04 3.95929126e-05 1.17470363e-04
 1.20834559e-04 2.71444705e-04 8.55295884e-05 6.00096759e-05
 1.71358013e-05 2.46481496e-05 2.60072250e-05 2.57955719e-05
 2.23907646e-05 4.53635277e-05 1.84038275e-04 9.87626988e-05]","[ 2.35952786e-04  8.04396113e-05 -7.50251347e-05 -2.31337384e-04
 -3.87848006e-04 -5.44617535e-04 -7.00899051e-04 -8.58371728e-04
 -1.01439620e-03 -1.17110985e-03 -1.32785330e-03 -1.48367288e-03
 -1.63975323e-03 -1.79552345e-03 -1.95192406e-03 -2.10810406e-03
 -2.26473948e-03 -2.42055906e-03 -2.57563079e-03 -2.72978237e-03
 -2.88389390e-03 -3.03908763e-03 -3.19507020e-03 -3.35107790e-03]"
2018-07-09,"[8.38862509e-05 4.95608840e-05 3.97858238e-05 1.25410062e-04
 1.86654847e-05 1.05612863e-04 8.63152891e-05 9.38044532e-05
 1.19457673e-04 3.72229718e-05 9.90851489e-05 1.11743655e-04
 8.31599185e-05 6.50200839e-05 2.03735279e-04 1.54473107e-04
 6.39499383e-05 4.43536662e-05 6.08969447e-05 5.98036286e-05
 2.85965437e-04 4.29580391e-04 1.56146761e-04]","[-0.00114386 -0.00238621 -0.00362888 -0.00487007 -0.00611096 -0.00735119
 -0.00859055 -0.00983003 -0.01107019 -0.01230914 -0.01354756 -0.01478514
 -0.01602308 -0.01725977 -0.01849717 -0.01973519 -0.0209723  -0.02221043
 -0.02344821 -0.0246874  -0.02592871 -0.02717308 -0.02841941]"
2018-07-10,"[9.39978654e-05 1.60445316e-04 1.25313314e-04 8.64875166e-05
 7.60666378e-05 4.37892209e-04 1.28237545e-04 1.96535034e-04
 4.88852808e-04 2.55064454e-04 4.62150353e-04 2.59624640e-04
 1.61278914e-04 1.05758001e-04 4.66428806e-05 1.18456119e-04
 9.56763833e-05 3.83780385e-05 3.56421169e-05 6.27849572e-05
 1.31526902e-04 1.55914844e-04 3.42978774e-04]","[0.00202371 0.00389124 0.00575877 0.00762623 0.0094939  0.01136231
 0.01323039 0.01509903 0.01696984 0.018842   0.02071447 0.02258797
 0.02446269 0.02633755 0.02821264 0.03008672 0.03196133 0.03383536
 0.03570896 0.03758225 0.03945576 0.04132854 0.04320098]"
2018-07-11,"[9.12037118e-05 1.19823936e-04 7.69008301e-05 1.09470123e-04
 1.32697476e-04 1.60139346e-04 1.20088669e-04 9.34623732e-05
 1.46540122e-04 9.95995152e-05 1.18854806e-04 1.08079267e-04
 8.20812945e-05 4.65039140e-05 9.56193838e-05 9.39479951e-05
 9.47348876e-05 1.26670691e-04 8.53402594e-05 1.30410269e-04
 1.32273712e-04 6.51658947e-05 7.78873079e-05]","[-0.00014613 -0.00063487 -0.0011237  -0.00161194 -0.0020999  -0.00258858
 -0.00307808 -0.00356714 -0.00405662 -0.00454618 -0.00503696 -0.00552597
 -0.00601526 -0.00650449 -0.00699294 -0.00748212 -0.00797212 -0.00846093
 -0.00895008 -0.00943905 -0.00992863 -0.01041785 -0.01090753]"
