datetime,true_vols,model_preds
2018-06-30,"[1.37015181e-03 4.11563810e-04 4.32223321e-04 2.14970248e-04
 2.08922338e-04 2.12872495e-04 3.15943398e-04 2.47166728e-04
 2.75272989e-04 2.93960425e-04 3.52398381e-04 3.62385096e-04
 2.75800360e-04 3.83237256e-04 2.54896865e-04 2.02139280e-04
 1.53564256e-04 8.93008173e-05 2.01591491e-04 1.25653344e-04
 1.43782096e-04]","[-0.07861757 -0.07795066 -0.07792008 -0.07717764 -0.07716078 -0.07795447
 -0.07714176 -0.07740736 -0.07783151 -0.07817215 -0.0768919  -0.07688874
 -0.07689643 -0.07692385 -0.07692343 -0.07689333 -0.07692397 -0.07691896
 -0.07690698 -0.07689536 -0.07691622]"
2018-07-03,[0.00028534 0.00024051],[-0.07877278 -0.0781014 ]
2018-07-04,"[2.39824286e-04 1.72505392e-04 1.76909462e-04 1.81715745e-04
 1.29295567e-04 1.26494369e-04 1.26305472e-04 2.22430084e-04
 1.56841530e-04 2.80113787e-04 1.92151793e-04 2.36698565e-04
 6.89701942e-04 2.96795794e-04 1.42718031e-04 1.41664821e-04
 1.28523883e-04 1.76251697e-04 1.49281026e-04 8.01847290e-05
 1.78766470e-04 3.10500000e-04 2.50078400e-04 3.39906676e-04]","[-0.07869047 -0.07801574 -0.07798928 -0.07725734 -0.07724339 -0.0780322
 -0.07722086 -0.07748318 -0.07790786 -0.07824749 -0.07695621 -0.07695329
 -0.07696176 -0.07698905 -0.0769887  -0.07695842 -0.07698929 -0.07698441
 -0.07697213 -0.07696062 -0.0769819  -0.07698268 -0.07698232 -0.07698154]"
2018-07-05,"[3.32270234e-04 2.11211674e-04 1.59501897e-04 1.69218550e-04
 1.53374312e-04 1.88195474e-04 1.08019502e-04 2.56645056e-04
 1.77442118e-04 1.82255187e-04 2.01039139e-04 2.26625478e-04
 2.38621815e-04 1.86370420e-04 9.32260820e-05 1.25770318e-04
 2.78796984e-04 1.40236904e-04 1.33994213e-04 1.90902867e-04
 1.55915702e-04 1.17100749e-04 1.08221850e-04]","[-0.07861137 -0.07794452 -0.07791764 -0.07717615 -0.0771572  -0.07795274
 -0.07714832 -0.0774141  -0.07783723 -0.07817638 -0.0768981  -0.07689482
 -0.07690257 -0.07692987 -0.07692963 -0.07689947 -0.07692981 -0.07692492
 -0.07691318 -0.07690179 -0.07692236 -0.07692325 -0.07692277]"
2018-07-06,"[6.55891404e-05 7.63655603e-05 6.37377252e-05 1.79799215e-04
 8.18243542e-05 2.01479996e-04 2.79344772e-04 1.91314356e-04
 1.07187959e-04 1.19782756e-04 1.87548510e-04 3.90815420e-04
 2.11187327e-04 1.05903874e-04 9.68755100e-05 7.36878915e-05
 2.18724695e-04 2.03684160e-04 4.29851828e-05 1.51278203e-04
 1.41853064e-04 1.76645071e-04 1.09508934e-04 7.91365805e-05]","[-0.07903957 -0.07835209 -0.07832134 -0.07758397 -0.07757056 -0.07838154
 -0.07758313 -0.07785249 -0.07827097 -0.07860684 -0.07732826 -0.07732469
 -0.07733297 -0.07736015 -0.07735997 -0.0773297  -0.07736021 -0.07735521
 -0.07734287 -0.0773319  -0.07735258 -0.07735348 -0.07735276 -0.07735217]"
2018-07-07,"[7.68359170e-05 9.51637117e-05 6.19905113e-05 6.50534992e-05
 4.38924874e-05 2.79996287e-05 5.06646659e-05 4.89592287e-05
 4.28443489e-05 6.44976497e-05 4.66942983e-05 1.59798481e-04
 2.05557768e-04 1.16155316e-04 8.66790216e-05 4.91944656e-05
 7.55345695e-05 5.28171064e-05 7.05823909e-05 8.80400832e-05
 5.70557624e-05 1.58872287e-04 8.24141835e-04 3.91408257e-04]","[-0.07865256 -0.07798386 -0.07794935 -0.07720685 -0.07720482 -0.07799911
 -0.0771935  -0.07746273 -0.07790434 -0.07823628 -0.07695138 -0.07694781
 -0.07695663 -0.07698411 -0.07698381 -0.07695359 -0.07698441 -0.07697928
 -0.07696676 -0.07695544 -0.07697648 -0.07697719 -0.0769769  -0.07697612]"
2018-07-08,"[2.01714437e-04 2.01688131e-04 1.18766096e-04 4.77736136e-05
 1.06327244e-04 9.52912351e-05 7.58047711e-05 9.49707030e-05
 1.13417896e-04 1.13774310e-04 3.95929126e-05 1.17470363e-04
 1.20834559e-04 2.71444705e-04 8.55295884e-05 6.00096759e-05
 1.71358013e-05 2.46481496e-05 2.60072250e-05 2.57955719e-05
 2.23907646e-05 4.53635277e-05 1.84038275e-04 9.87626988e-05]","[-0.07910699 -0.07842499 -0.07838833 -0.07764155 -0.07763219 -0.07843387
 -0.07763398 -0.0778982  -0.07832026 -0.07865524 -0.07737625 -0.07737321
 -0.07738143 -0.07740879 -0.07740849 -0.07737827 -0.07740873 -0.07740396
 -0.07739198 -0.0773803  -0.07740116 -0.07740188 -0.07740152 -0.07740086]"
2018-07-09,"[8.38862509e-05 4.95608840e-05 3.97858238e-05 1.25410062e-04
 1.86654847e-05 1.05612863e-04 8.63152891e-05 9.38044532e-05
 1.19457673e-04 3.72229718e-05 9.90851489e-05 1.11743655e-04
 8.31599185e-05 6.50200839e-05 2.03735279e-04 1.54473107e-04
 6.39499383e-05 4.43536662e-05 6.08969447e-05 5.98036286e-05
 2.85965437e-04 4.29580391e-04 1.56146761e-04]","[-0.07904434 -0.07836205 -0.07832694 -0.07758796 -0.07757998 -0.07838029
 -0.07758427 -0.07785565 -0.07828182 -0.0786134  -0.07733172 -0.07732904
 -0.07733732 -0.0773648  -0.07736439 -0.07733434 -0.07736468 -0.07735956
 -0.07734746 -0.07733619 -0.07735717 -0.07735789 -0.07735777]"
2018-07-10,"[9.39978654e-05 1.60445316e-04 1.25313314e-04 8.64875166e-05
 7.60666378e-05 4.37892209e-04 1.28237545e-04 1.96535034e-04
 4.88852808e-04 2.55064454e-04 4.62150353e-04 2.59624640e-04
 1.61278914e-04 1.05758001e-04 4.66428806e-05 1.18456119e-04
 9.56763833e-05 3.83780385e-05 3.56421169e-05 6.27849572e-05
 1.31526902e-04 1.55914844e-04 3.42978774e-04]","[-0.07915837 -0.07846767 -0.07843888 -0.07769644 -0.07768381 -0.07849705
 -0.07769728 -0.07796735 -0.07838857 -0.07872981 -0.07744384 -0.07744074
 -0.07744902 -0.07747662 -0.0774765  -0.07744616 -0.0774768  -0.07747167
 -0.07745945 -0.07744795 -0.07746893 -0.07747    -0.07746959]"
2018-07-11,"[9.12037118e-05 1.19823936e-04 7.69008301e-05 1.09470123e-04
 1.32697476e-04 1.60139346e-04 1.20088669e-04 9.34623732e-05
 1.46540122e-04 9.95995152e-05 1.18854806e-04 1.08079267e-04
 8.20812945e-05 4.65039140e-05 9.56193838e-05 9.39479951e-05
 9.47348876e-05 1.26670691e-04 8.53402594e-05 1.30410269e-04
 1.32273712e-04 6.51658947e-05 7.78873079e-05]","[-0.07862282 -0.07795644 -0.07792771 -0.07717913 -0.07716179 -0.0779568
 -0.07716608 -0.07743561 -0.07785892 -0.07819909 -0.07692635 -0.07692307
 -0.07693088 -0.07695818 -0.07695806 -0.0769282  -0.07695836 -0.07695323
 -0.07694131 -0.07692999 -0.07695055 -0.0769515  -0.07695097]"
