datetime,model_loss,baseline_loss,true_returns,true_vols,model_preds,baseline_preds
2018-06-30,1.87440185546875,-8.309953689575195,"[-0.00268837 -0.00425964  0.00179286  0.00152993 -0.00131056  0.00275222
 -0.00181414  0.00322409 -0.00469345  0.00269271 -0.00079453 -0.00144523
 -0.00312149  0.00168201 -0.00448536  0.00013712  0.00018182  0.00559636
 -0.004042    0.00015152]","[4.1156381e-04 4.3222331e-04 2.1497025e-04 2.0892234e-04 2.1287249e-04
 3.1594338e-04 2.4716672e-04 2.7527299e-04 2.9396042e-04 3.5239838e-04
 3.6238509e-04 2.7580035e-04 3.8323726e-04 2.5489688e-04 2.0213929e-04
 1.5356425e-04 8.9300818e-05 2.0159149e-04 1.2565334e-04 1.4378209e-04]","[5.1652507e-05 1.4829307e-02 2.5164487e-04 7.6941593e-04 2.8025985e-02
 6.5607829e-03 3.6334639e-04 6.0684903e-04 1.6118318e-03 4.3969536e-08
 3.6468571e-03 7.9893552e-02 7.6677725e-03 1.5823809e-02 1.0046267e-02
 7.3464219e-03 1.2562660e-03 1.7152796e-02 1.3161340e-03 1.1847774e-03]","[0.00023758 0.00023758 0.00023758 0.00023758 0.00023758 0.00023758
 0.00023758 0.00023758 0.00023758 0.00023758 0.00023758 0.00023758
 0.00023758 0.00023758 0.00023758 0.00023758 0.00023766 0.00023766
 0.00023766 0.00023766]"
2018-07-03,-6.138586044311523,-8.05025577545166,[-0.00816169],[0.00024051],[0.00209029],[0.00024235]
2018-07-04,-5.293916121773098,-8.145231993302055,"[ 4.5824194e-04  1.2791790e-03 -4.1435525e-04  2.2243720e-03
 -3.0613365e-03  1.5511564e-03  6.7334101e-03  2.8392501e-04
 -2.4151669e-03  2.1619403e-03  5.1608100e-03  2.4036942e-02
 -2.0175045e-03 -1.5217882e-03 -3.0580445e-03  1.8635087e-03
 -1.1584752e-03  2.8839565e-03 -7.6259348e-05  3.6479600e-04
 -1.4590468e-02 -1.3265299e-03 -3.8209367e-03]","[1.7250539e-04 1.7690947e-04 1.8171575e-04 1.2929557e-04 1.2649437e-04
 1.2630547e-04 2.2243008e-04 1.5684153e-04 2.8011377e-04 1.9215180e-04
 2.3669857e-04 6.8970193e-04 2.9679580e-04 1.4271803e-04 1.4166482e-04
 1.2852388e-04 1.7625169e-04 1.4928103e-04 8.0184727e-05 1.7876647e-04
 3.1050001e-04 2.5007839e-04 3.3990666e-04]","[3.4966192e-03 1.0698925e-03 9.6149230e-03 1.5801327e-02 4.0201535e-03
 3.4826435e-03 5.3752557e-04 1.3512047e-03 2.8426953e-02 3.8383540e-04
 5.2616680e-03 3.8895354e-02 6.1762244e-02 3.8133660e-06 2.8313641e-03
 3.0133171e-02 7.0962519e-03 1.3696909e-01 2.6878647e-03 3.2611411e-02
 7.5268424e-03 4.5154549e-04 8.1734210e-02]","[0.00024579 0.00024579 0.00024579 0.00024579 0.00024579 0.00024579
 0.00024579 0.00024579 0.00024579 0.00024579 0.00024579 0.00024579
 0.00024579 0.00024579 0.00024579 0.00024579 0.00024578 0.00024578
 0.00024578 0.00024578 0.00024578 0.00024578 0.00024578]"
2018-07-05,-5.106124184348366,-8.24664237282493,"[-0.00254508  0.00207252 -0.00049544 -0.00075328  0.00209324  0.00209339
  0.00154192  0.00042052 -0.00271617  0.00273726 -0.00524116 -0.00262712
  0.00326314 -0.00299435 -0.00295765 -0.01257099  0.00342236  0.00068368
 -0.00186471  0.00583312 -0.00050342 -0.00065069]","[2.11211678e-04 1.59501898e-04 1.69218547e-04 1.53374305e-04
 1.88195481e-04 1.08019500e-04 2.56645057e-04 1.77442111e-04
 1.82255186e-04 2.01039133e-04 2.26625474e-04 2.38621811e-04
 1.86370424e-04 9.32260809e-05 1.25770312e-04 2.78796972e-04
 1.40236909e-04 1.33994210e-04 1.90902865e-04 1.55915695e-04
 1.17100746e-04 1.08221851e-04]","[0.01501595 0.00535394 0.00204873 0.00081245 0.0003816  0.06392687
 0.04219748 0.02424973 0.00073077 0.0281996  0.00401492 0.01211732
 0.0016293  0.00147504 0.00827825 0.01404107 0.00136616 0.00709345
 0.00096888 0.00913365 0.05369829 0.03531446]","[0.00024769 0.00024769 0.00024769 0.00024769 0.00024769 0.00024769
 0.00024769 0.00024769 0.00024769 0.00024769 0.00024769 0.00024769
 0.00024769 0.00024769 0.00024769 0.00024769 0.00024768 0.00024768
 0.00024768 0.00024768 0.00024768 0.00024768]"
2018-07-06,-6.477037678594175,-8.243726647418478,"[ 0.00451758 -0.00203031 -0.00066185 -0.00392032 -0.00449971  0.00291524
  0.00277308 -0.00119016  0.00461434 -0.00080896  0.00885216 -0.002251
 -0.00268501  0.00219002 -0.00079097  0.00649509 -0.00577573  0.00051634
  0.00046433  0.00306979 -0.00255851  0.00349277 -0.00059898]","[7.6365563e-05 6.3737723e-05 1.7979922e-04 8.1824357e-05 2.0148000e-04
 2.7934476e-04 1.9131435e-04 1.0718796e-04 1.1978276e-04 1.8754850e-04
 3.9081543e-04 2.1118733e-04 1.0590388e-04 9.6875512e-05 7.3687894e-05
 2.1872470e-04 2.0368416e-04 4.2985183e-05 1.5127820e-04 1.4185306e-04
 1.7664507e-04 1.0950893e-04 7.9136582e-05]","[2.85963062e-03 1.40832411e-02 3.11096059e-03 3.94557195e-04
 2.18892306e-01 1.35283526e-05 1.81313138e-03 1.25652719e-02
 6.80512236e-03 6.41488843e-03 1.31712237e-03 1.70893420e-03
 6.29395526e-03 3.53838659e-05 3.47874351e-02 7.74015998e-03
 7.46254064e-03 6.55603289e-05 1.04229957e-06 1.44395835e-05
 1.27802650e-02 4.01631696e-04 4.52760467e-03]","[0.00024948 0.00024948 0.00024948 0.00024948 0.00024948 0.00024948
 0.00024948 0.00024948 0.00024948 0.00024948 0.00024948 0.00024948
 0.00024948 0.00024948 0.00024948 0.00024948 0.00024947 0.00024947
 0.00024947 0.00024947 0.00024947 0.00024947 0.00024947]"
2018-07-07,-5.122163523798403,-8.139866704526154,"[ 0.00291651  0.0014672   0.00047899 -0.00081715 -0.00195994  0.00227233
 -0.00315867  0.00051548  0.00135511 -0.00036898 -0.00294456 -0.00590453
  0.0051838   0.00071464 -0.00106833 -0.00213704  0.00060952 -0.0010176
 -0.00364344  0.0019099   0.0075076   0.02708849 -0.00266183]","[9.51637121e-05 6.19905113e-05 6.50535003e-05 4.38924872e-05
 2.79996293e-05 5.06646647e-05 4.89592276e-05 4.28443491e-05
 6.44976462e-05 4.66942984e-05 1.59798481e-04 2.05557764e-04
 1.16155315e-04 8.66790215e-05 4.91944666e-05 7.55345682e-05
 5.28171076e-05 7.05823913e-05 8.80400839e-05 5.70557640e-05
 1.58872281e-04 8.24141840e-04 3.91408248e-04]","[0.00013075 0.00571745 0.0063081  0.11754913 0.02572188 0.07767359
 0.03767772 0.00842281 0.00419162 0.00143133 0.00724933 0.04148953
 0.0031818  0.00468254 0.00835263 0.00386995 0.00490919 0.03863942
 0.00099523 0.00186029 0.00024949 0.00595742 0.00275315]","[0.00024802 0.00024802 0.00024802 0.00024802 0.00024802 0.00024802
 0.00024802 0.00024802 0.00024802 0.00024802 0.00024802 0.00024802
 0.00024802 0.00024802 0.00024802 0.00024802 0.000248   0.000248
 0.000248   0.000248   0.000248   0.000248   0.000248  ]"
2018-07-08,-5.302131321119226,-8.29249158112899,"[ 0.00132967 -0.00356708 -0.00027687  0.00282014 -0.00087329  0.00109446
 -0.00129804  0.00152065 -0.00208703  0.00207219 -0.00162917  0.00185618
  0.00132987 -0.00018966 -0.00049062  0.00045357  0.00021486  0.00171276
 -0.0029477   0.0010275   0.00044151 -0.00659704  0.0020005 ]","[2.01688134e-04 1.18766096e-04 4.77736139e-05 1.06327243e-04
 9.52912378e-05 7.58047681e-05 9.49707028e-05 1.13417897e-04
 1.13774309e-04 3.95929128e-05 1.17470365e-04 1.20834557e-04
 2.71444704e-04 8.55295875e-05 6.00096755e-05 1.71358006e-05
 2.46481504e-05 2.60072247e-05 2.57955726e-05 2.23907646e-05
 4.53635294e-05 1.84038276e-04 9.87626991e-05]","[1.0749555e-02 1.9346764e-03 2.8371667e-02 1.9396707e-02 1.3335314e-02
 2.1450292e-02 4.2838566e-03 1.1847307e-02 4.3371275e-02 5.7989360e-05
 6.4492144e-04 4.7145118e-03 9.5141691e-04 2.1676475e-02 7.9011377e-03
 5.1247064e-02 1.5652755e-02 4.0733776e-05 4.8294216e-03 1.2223280e-02
 6.2345288e-04 9.3752481e-03 3.9523067e-03]","[0.00024575 0.00024575 0.00024575 0.00024575 0.00024575 0.00024575
 0.00024575 0.00024575 0.00024575 0.00024575 0.00024575 0.00024575
 0.00024575 0.00024575 0.00024575 0.00024575 0.00024573 0.00024573
 0.00024573 0.00024573 0.00024573 0.00024573 0.00024573]"
2018-07-09,-5.429526935924184,-8.290225635875355,"[ 0.00020739  0.00093051 -0.00166329  0.00032243  0.00184006  0.00202402
 -0.00043571 -0.00493992 -0.00045002  0.0056859  -0.00283965  0.00348033
 -0.0009254  -0.00271419 -0.00162667  0.00069342  0.00193275 -0.00222111
  0.00489988 -0.00333802 -0.00532871  0.00044689]","[4.95608838e-05 3.97858239e-05 1.25410064e-04 1.86654852e-05
 1.05612860e-04 8.63152891e-05 9.38044541e-05 1.19457676e-04
 3.72229733e-05 9.90851477e-05 1.11743655e-04 8.31599173e-05
 6.50200818e-05 2.03735282e-04 1.54473106e-04 6.39499413e-05
 4.43536665e-05 6.08969458e-05 5.98036277e-05 2.85965449e-04
 4.29580396e-04 1.56146765e-04]","[1.1170745e-01 2.5190743e-02 1.8184006e-02 9.8919403e-03 1.2470401e-02
 9.0577900e-03 3.6223115e-05 2.5740137e-02 7.0208809e-03 1.2309472e-02
 1.2790441e-03 9.8730996e-02 1.0267332e-03 5.5794224e-02 2.7478809e-04
 3.5296276e-02 2.2513952e-06 1.3331302e-02 8.5803531e-03 8.1682643e-05
 6.3343148e-05 3.1767342e-02]","[0.000243   0.000243   0.000243   0.000243   0.000243   0.000243
 0.000243   0.000243   0.000243   0.000243   0.000243   0.000243
 0.000243   0.000243   0.000243   0.000243   0.00024299 0.00024299
 0.00024299 0.00024299 0.00024299 0.00024299]"
2018-07-10,-4.452712492509321,-8.138478019020774,"[-2.1792948e-03  5.1098660e-04  7.0048636e-04 -3.0873276e-03
 -3.3666373e-03  1.1830189e-03 -2.6815988e-03 -2.1980964e-02
  4.7445432e-03 -1.7189892e-02  1.0630590e-03  2.6300172e-03
 -1.6496135e-03  1.0890815e-03 -4.3461574e-03  1.2073290e-03
  1.2906063e-03  8.4726082e-05  2.3255933e-03 -2.3020597e-03
 -3.6562010e-04  1.3102610e-02]","[1.6044531e-04 1.2531331e-04 8.6487518e-05 7.6066637e-05 4.3789222e-04
 1.2823755e-04 1.9653504e-04 4.8885279e-04 2.5506446e-04 4.6215035e-04
 2.5962465e-04 1.6127892e-04 1.0575800e-04 4.6642879e-05 1.1845612e-04
 9.5676383e-05 3.8378039e-05 3.5642119e-05 6.2784959e-05 1.3152690e-04
 1.5591485e-04 3.4297878e-04]","[2.7886816e-04 8.1578188e-02 1.6148699e-03 2.1546153e-02 9.7918520e-03
 1.4248525e-02 2.5395283e-02 5.3793392e-03 3.9738300e-03 4.0051953e-05
 9.3614228e-02 4.2990033e-07 2.2604843e-04 1.4713032e-02 7.3190173e-03
 2.3366841e-02 1.3831619e-03 2.3928240e-02 4.1146584e-02 2.3776663e-03
 1.6798268e-03 5.3702574e-02]","[0.00023911 0.00023911 0.00023911 0.00023911 0.00023911 0.00023911
 0.00023911 0.00023911 0.00023911 0.00023911 0.00023911 0.00023911
 0.00023911 0.00023911 0.00023911 0.00023911 0.00023911 0.00023911
 0.00023911 0.00023911 0.00023911 0.00023911]"
2018-07-11,-5.911701202392578,-8.330711017955434,"[-0.00057811 -0.00472849  0.00210869 -0.00149155 -0.00425509  0.00594041
  0.00297273 -0.00398453  0.00075816 -0.00071561  0.00037199 -0.00118866
 -0.00050761 -0.00245211  0.000923   -0.00139113  0.00110928  0.00101995
  0.00085703  0.00107614  0.00162223 -0.00214837]","[1.19823933e-04 7.69008329e-05 1.09470122e-04 1.32697474e-04
 1.60139345e-04 1.20088669e-04 9.34623749e-05 1.46540115e-04
 9.95995142e-05 1.18854805e-04 1.08079264e-04 8.20812929e-05
 4.65039157e-05 9.56193835e-05 9.39479942e-05 9.47348890e-05
 1.26670697e-04 8.53402598e-05 1.30410262e-04 1.32273708e-04
 6.51658920e-05 7.78873073e-05]","[9.6099236e-04 2.0019454e-05 7.7364931e-04 3.9399310e-05 3.3940057e-06
 4.4339322e-02 1.3879836e-04 1.5117711e-02 8.0991209e-05 1.6130270e-02
 4.5346301e-02 1.6441527e-03 1.2708870e-03 1.0004303e-04 5.5691093e-02
 5.4507807e-02 4.9576007e-02 2.4395492e-03 1.8289816e-02 1.3742605e-03
 2.0691467e-02 9.7153112e-03]","[0.00023499 0.00023499 0.00023499 0.00023499 0.00023499 0.00023499
 0.00023499 0.00023499 0.00023499 0.00023499 0.00023499 0.00023499
 0.00023499 0.00023499 0.00023499 0.00023499 0.00023498 0.00023498
 0.00023498 0.00023498 0.00023498 0.00023498]"
